YEAR,WEEK,ID_MATERIAL,ID_VENDOR,ID_PLANT,MAT GROUP,CONTRACT QTY,PRICE,CD_DOWN_INTERVAL,VL_BATCH,VL_MPVS,VL_MIN_ORDER_QTY,BATCH,MPVS,FY,FY_LY,STD BATCH,FY WOW,CONTRACT WEIGHT,SUPER THEME,ABC PRESENT,SAFETY TIME PROFILE,COVERAGE PROFILE SITE,COVERAGE PROFILE NO,VS CURRENT,VS PREV,SEGMENTATION,LIFETIME,LAST WEEK SITE COMMENTS,SIP COMMENTS,SITE COMMENTS,AVG_COVERAGE_ONLY,AVG_COVERAGE_ONLY_Q2,TOTAL_DEMAND_ONLY,TOTAL_DEMAND_ONLY_Q2,AVG_DEMAND_ONLY,AVG_DEMAND_ONLY_Q2,TOTAL_PREBUILD,TOTAL_PREBUILD_Q2,AVG_PREBUILD,AVG_PREBUILD_Q2,AVG_INVENTORY_ONLY,AVG_INVENTORY_ONLY_Q2,AVG_SAFETY,AVG_SAFETY_Q2,AVG_SUPPLY,AVG_SUPPLY_Q2
2021,11,1390,3,1,3,61500,47.63,60000,7.0,5.0,5000.0,41000.0,51250.0,323317.0,332581.0,92250.0,0.9721451315619352,0.6666666666666666,2,1,1,15,2,65.79218795750121,2.341054912,1,0.0,1,1,1,34.5,36.61538461538461,-38781.0,-82912.0,-9695.25,-6377.846153846154,0.0,0.0,0.0,0.0,49004.0,32912.769230769234,0.0,0.0,31164.0,77474.0
2023,29,3181,1,1,2,11316,3834.4,10000,7.0,6.0,5000.0,8332.0,12084.0,20416.0,20416.0,20416.0,1.0,0.5542711598746082,4,1,1,1,1,0.085300964,1.072135202,1,3.0,1,1,1,0.0,,0.0,,,,0.0,,,,,,,,0.0,
2020,6,316,1,1,1,16200,712.23,10000,7.0,5.0,5000.0,27900.0,2520.0,33995.0,39187.0,30420.0,0.867507081430066,0.5325443786982249,11,1,1,1,1,116.92040855005148,73.48223122,1,3.0,1,1,1,33.875,21.692307692307693,-23939.0,-31706.0,-2992.375,-2438.923076923077,0.0,0.0,0.0,0.0,18602.375,7612.846153846154,-1250.0,769.1538461538462,31221.0,16239.0
2023,43,4229,3,1,3,99500,309.36,60000,7.0,5.0,5000.0,53898.0,150427.0,633684.0,625247.0,204325.0,1.0134938672236733,0.4869692891227211,1,6,1,20,29,0.982300885,,1,0.0,1,1,1,34.69230769230769,45.66666666666666,0.0,0.0,,,0.0,0.0,,,,,,,156600.0,31050.0
2022,48,3022,3,1,3,5100,474.96,5000,7.0,5.0,5000.0,0.0,2400.0,13872.0,13723.0,2400.0,1.010857684179844,2.125,30,1,5,20,40,83.56579356529794,28.55417371,6,2.0,1,1,1,,,,,,,,,,,,,,,,
2023,13,3794,4,1,3,16520,161.26,15000,7.0,5.0,5000.0,6400.0,86400.0,176194.0,201065.0,92800.0,0.8763036828886182,0.1780172413793103,6,6,1,5,7,1.291666667,0.0,8,0.0,1,1,1,51.0,92.92307692307692,0.0,0.0,,,0.0,0.0,,,,,0.0,-0.0769230769230769,25344.0,85632.0
2021,25,1925,1,1,2,10572,2869.78,10000,7.0,6.0,5000.0,3370.0,3005.0,36684.0,36015.0,6375.0,1.0185755935027072,1.6583529411764706,4,1,1,18,6,59.31766667648824,76.60960735,8,1.0,1,1,1,,27.0,,-8370.0,,-4185.0,,0.0,,0.0,,39852.5,,0.0,,12240.0
2021,16,1165,3,1,3,18400,170.65,15000,7.0,5.0,5000.0,26400.0,14400.0,102576.0,123424.0,40800.0,0.8310863365309826,0.4509803921568627,2,1,1,15,5,57.22521545716683,27.26823623,1,0.0,1,3,3,,80.36363636363636,,-29183.0,,-2653.0,,0.0,,0.0,,26086.454545454544,,0.0,,28032.0
2020,31,713,2,1,1,5040,660.08,5000,7.0,5.0,5000.0,8340.0,8400.0,16740.0,22740.0,16740.0,0.7361477572559367,0.3010752688172043,15,6,1,5,2,71.06563672986319,38.74203622,1,0.0,1,1,1,0.0,,-747.0,,-747.0,,0.0,,0.0,,-28415.0,,0.0,,0.0,
2021,26,975,2,1,1,55360,76.96,50000,7.0,5.0,5000.0,43050.0,12300.0,88623.0,88623.0,55350.0,1.0,1.0001806684733514,2,1,1,1,1,58.471548679146125,20.76896202,1,3.0,1,1,1,,16.0,,-3246.0,,-3246.0,,0.0,,0.0,,8737.0,,0.0,,0.0
2023,51,4340,2,1,1,211950,31.63,100000,7.0,5.0,5000.0,159300.0,40500.0,211950.0,230850.0,199800.0,0.9181286549707602,1.0608108108108107,8,1,1,1,1,0.682879882,0.502313285,1,0.0,1,1,1,90.0,999.0,0.0,0.0,,,0.0,0.0,,,,,,,203700.0,6300.0
2023,14,3705,4,1,4,79950,252.25,60000,7.0,5.0,5000.0,72800.0,114400.0,404411.0,375760.0,187200.0,1.0762481371087929,0.4270833333333333,7,1,1,5,7,0.482497834,1.164928518,8,1.0,1,1,1,,53.92307692307692,,0.0,,,,0.0,,,,,,,,196878.0
2020,41,290,4,1,3,6180,437.67,5000,7.0,5.0,5000.0,2700.0,2160.0,19980.0,19440.0,4860.0,1.0277777777777777,1.271604938271605,6,3,1,5,7,88.44397588,61.65045244,5,3.0,1,1,1,44.30769230769231,47.0,-4760.0,-298.0,-366.1538461538461,-298.0,0.0,0.0,0.0,0.0,2334.4615384615386,1858.0,0.0,0.0,3494.0,278.0
2020,40,709,1,1,2,10392,2166.46,10000,7.0,6.0,5000.0,8760.0,14592.0,33810.0,41523.0,23352.0,0.814247525467813,0.4450154162384378,8,1,1,5,6,73.94557662854744,49.1040599,6,3.0,1,1,1,36.0,,-12004.0,,-923.3846153846154,,0.0,,0.0,,4449.846153846154,,0.0,,7645.0,
2022,19,2710,2,1,1,41580,166.71,40000,7.0,5.0,5000.0,21190.0,63570.0,290420.0,321490.0,84760.0,0.9033562474727052,0.4905615856536102,16,1,1,5,5,49.32490164141722,16.96267801,9,0.0,1,1,1,,60.11111111111112,,-70559.0,,-7839.888888888889,,0.0,,0.0,,60024.55555555556,,0.0,,100464.0
2021,9,1559,2,1,1,36800,34.12,35000,7.0,5.0,5000.0,18400.0,68000.0,174980.0,187036.0,86400.0,0.9355418208259372,0.4259259259259259,29,3,1,10,22,82.42390303274041,60.54446688,8,0.0,1,1,1,26.4,78.6923076923077,-67230.0,-62748.0,-13446.0,-4826.769230769231,0.0,0.0,0.0,0.0,33562.8,42268.84615384616,0.0,0.0,102064.0,39775.0
2020,34,629,2,1,1,32800,152.59,30000,7.0,5.0,5000.0,22800.0,10800.0,47789.0,50000.0,33600.0,0.95578,0.9761904761904762,5,1,1,5,6,176.9827653174248,64.12332187,6,0.0,1,1,1,116.0,,-5967.0,,-852.4285714285714,,0.0,,0.0,,7091.285714285715,,0.0,,0.0,
2023,26,3930,2,1,1,51376,398.06,50000,7.0,5.0,5000.0,36192.0,6188.0,183820.0,183508.0,42380.0,1.0017001983564748,1.2122699386503069,5,1,1,5,5,1.118384349,1.635537607,9,0.0,1,1,1,,65.0,,0.0,,,,0.0,,,,,,,,0.0
2022,23,1563,2,1,1,40320,371.18,40000,7.0,5.0,5000.0,63140.0,34160.0,396060.0,182910.0,97300.0,2.1653272101033294,0.4143884892086331,6,1,1,5,5,122.87518650313449,61.16154212,5,3.0,1,1,1,,5.8,,-21888.0,,-4377.6,,0.0,,0.0,,354.6,,0.0,,20736.0
2023,5,3034,4,1,3,26530,342.92,25000,7.0,5.0,5000.0,12420.0,11880.0,137025.0,144009.0,24300.0,0.9515030310605588,1.0917695473251028,6,1,1,5,6,0.23131101,1.8163139,1,0.0,1,1,1,38.333333333333336,47.76923076923077,0.0,0.0,,,0.0,0.0,,,,,,,18297.0,37389.0
2021,24,1530,3,1,3,19250,68.35,15000,7.0,5.0,5000.0,9464.0,30750.0,40214.0,40214.0,40214.0,1.0,0.4786890137762968,5,1,1,1,1,105.78119657544929,41.33345681,1,3.0,1,1,1,,4.333333333333333,,-6280.0,,-2093.333333333333,,0.0,,0.0,,1379.0,,0.0,,14112.0
2021,7,137,3,1,3,25630,291.91,25000,7.0,5.0,5000.0,24480.0,15300.0,110928.0,106224.0,39780.0,1.044283777677361,0.6442936148818502,4,1,1,6,7,76.25021821249813,152.3704751,1,3.0,1,1,1,36.375,73.84615384615384,-18712.0,-23105.0,-2339.0,-1777.3076923076924,0.0,0.0,0.0,0.0,9078.125,22995.53846153846,0.0,0.0,29088.0,38745.0
2020,46,1051,2,1,1,9800,190.03,5000,7.0,5.0,5000.0,0.0,25480.0,322419.0,422660.0,25480.0,0.7628330099843846,0.3846153846153846,2,1,1,14,2,136.09681644258774,59.77778559,7,0.0,1,1,1,49.15384615384615,68.0,-47320.0,-26656.0,-3640.0,-4442.666666666667,0.0,0.0,0.0,0.0,30787.53846153846,44156.5,0.0,0.0,46408.0,41579.0
2023,38,4061,2,1,1,38400,263.76,35000,7.0,5.0,5000.0,34160.0,20160.0,173040.0,181440.0,54320.0,0.9537037037037036,0.7069219440353461,5,1,1,5,2,0.358775617,0.847119365,5,1.0,1,1,1,31.363636363636363,,0.0,,,,0.0,,,,,,,,32640.0,
2021,37,1342,4,1,3,8790,466.36,5000,7.0,5.0,5000.0,7680.0,7680.0,40320.0,46080.0,15360.0,0.875,0.572265625,30,1,1,18,25,79.20306690522267,39.47914059,5,1.0,1,1,1,65.7,,-13872.0,,-1387.2,,0.0,,0.0,,5815.7,,0.0,,2296.0,
2021,16,1731,4,1,4,60413,520.33,60000,7.0,5.0,5000.0,162000.0,79500.0,357000.0,297932.0,241500.0,1.1982600056388706,0.2501573498964803,30,1,1,5,6,,402.417533,1,0.0,1,1,1,,36.0,,-91034.0,,-8275.818181818182,,0.0,,0.0,,70146.45454545454,,0.0,,225677.0
2022,18,2941,3,1,3,47000,102.42,40000,7.0,5.0,5000.0,78000.0,24000.0,432000.0,426000.0,102000.0,1.0140845070422535,0.4607843137254901,7,2,1,5,6,49.896949092236696,28.16434317,8,0.0,1,1,2,,16.6,,-67774.0,,-6777.4,,0.0,,0.0,,20074.9,,0.0,,133400.0
2020,23,299,4,1,3,8980,437.67,5000,7.0,5.0,5000.0,6480.0,3240.0,21600.0,19440.0,9720.0,1.1111111111111112,0.9238683127572016,6,3,1,9,7,65.90061755680523,31.75745165,5,3.0,7,4,1,,6.8,,-4681.0,,-936.2,,0.0,,0.0,,591.6,,0.0,,2400.0
2020,5,280,5,1,3,10920,375.29,5000,7.0,5.0,5000.0,9880.0,5720.0,134227.0,135427.0,15600.0,0.9911391376904164,0.7,2,1,1,1,1,71.73097425798358,18.98871365,4,1.0,1,1,1,31.11111111111111,56.46153846153846,-20204.0,-18180.0,-2244.8888888888887,-1398.4615384615386,0.0,0.0,0.0,0.0,9110.333333333334,12697.23076923077,-456.8888888888889,45.76923076923077,19056.0,23409.0
2021,2,297,1,1,1,14976,2617.13,10000,7.0,5.0,5000.0,18400.0,9568.0,80386.0,80386.0,27968.0,1.0,0.5354691075514875,4,3,1,13,7,118.33608013857103,48.4516911916233,1,3.0,1,1,1,59.66666666666666,93.07692307692308,-14499.0,-16708.0,-1208.25,-1285.2307692307693,0.0,0.0,0.0,0.0,10567.416666666666,22042.23076923077,0.0,0.0,27858.0,25526.0
2022,45,2845,1,1,2,18975,2079.74,10000,7.0,6.0,5000.0,0.0,0.0,4019.0,4218.0,0.0,0.9528212422949264,1.0,2,3,5,1,1,77.5197079,98.35663618,9,0.0,1,1,1,,,,,,,,,,,,,,,,
2020,50,1279,2,1,1,36260,44.29,35000,7.0,5.0,5000.0,32340.0,5880.0,223700.0,307346.0,38220.0,0.7278441886343079,0.9487179487179488,27,1,1,13,9,121.90054397963864,79.88056193,1,0.0,1,1,1,82.92307692307692,99.7,-42997.0,-38069.0,-3307.4615384615386,-3806.9,0.0,0.0,0.0,0.0,41409.230769230766,50893.6,0.0,0.0,59892.0,33490.0
2020,49,630,2,1,2,10425,2902.12,10000,7.0,6.0,5000.0,0.0,0.0,19536.0,19171.0,0.0,1.0190391737520212,1.0,9,1,1,13,7,81.37737964431354,38.69972003,5,0.0,1,1,1,53.0,102.33333333333331,-10587.0,-5189.0,-814.3846153846154,-576.5555555555555,0.0,0.0,0.0,0.0,5584.692307692308,9106.222222222224,0.0,0.0,12117.0,8078.0
2020,48,917,2,1,1,10360,193.32,10000,7.0,5.0,5000.0,5580.0,7200.0,27020.0,26619.0,12780.0,1.0150644276644505,0.810641627543036,5,1,1,14,4,161.13925042645246,66.23939931,7,0.0,7,1,1,29.307692307692307,64.5,-8424.0,-3128.0,-648.0,-391.0,0.0,0.0,0.0,0.0,2590.3076923076924,3692.875,0.0,0.0,5865.0,5046.0
2022,37,3071,4,1,3,48000,102.12,40000,7.0,5.0,5000.0,30000.0,78000.0,312000.0,354000.0,108000.0,0.8813559322033898,0.4444444444444444,7,1,1,5,6,83.00909995521809,35.21366562,5,3.0,1,1,1,,,,,,,,,,,,,,,,
2022,8,606,1,1,1,30360,806.48,30000,7.0,5.0,5000.0,20460.0,18180.0,103656.0,113227.0,38640.0,0.91547069161949,0.7857142857142857,3,1,1,6,7,161.89773424630104,56.88930958,5,2.0,1,1,1,14.714285714285714,72.3076923076923,-18817.0,-21406.0,-2688.1428571428573,-1646.6153846153843,0.0,0.0,0.0,0.0,2905.8571428571427,18420.23076923077,0.0,0.0,21120.0,32033.0
2021,40,2177,1,1,1,62920,100.11,50000,7.0,5.0,5000.0,81400.0,24640.0,286000.0,286961.0,106040.0,0.996651112868996,0.5933609958506224,2,1,1,19,5,0.0,0.0,1,0.0,1,5,5,32.46153846153846,6379627.0,-85425.0,6379627.0,-6571.153846153846,6379627.0,0.0,6379627.0,0.0,6379627.0,20165.46153846154,6379627.0,0.0,6379627.0,53372.0,6379627.0
2022,7,2516,4,1,4,6760,703.25,5000,7.0,5.0,5000.0,2880.0,7680.0,17254.0,26988.0,10560.0,0.6393211797836075,0.6401515151515151,30,3,1,6,7,120.12150822101988,17.83444104,8,1.0,7,2,5,10.75,69.6923076923077,-127697.0,-49240.0,-15962.125,-3787.692307692308,0.0,0.0,0.0,0.0,16913.5,28284.53846153846,0.0,0.0,51274.0,70216.0
2022,20,2715,4,1,3,7640,328.33,5000,7.0,5.0,5000.0,12800.0,25600.0,92800.0,92800.0,38400.0,1.0,0.1989583333333333,5,1,1,5,9,100.46840504295189,23.21171153,8,0.0,1,1,1,,56.75,,-52510.0,,-6563.75,,0.0,,0.0,,19632.75,,0.0,,13680.0
2023,3,2983,5,1,3,66100,181.75,60000,7.0,5.0,5000.0,41600.0,35200.0,153257.0,160443.0,76800.0,0.955211508136846,0.8606770833333334,13,1,1,5,6,0.02384945,1.012468204,1,3.0,1,1,1,42.0,52.61538461538461,0.0,0.0,,,0.0,0.0,,,,,,,62387.0,33363.0
2020,28,973,2,1,1,105440,75.33,100000,7.0,5.0,5000.0,44960.0,36320.0,212480.0,220160.0,81280.0,0.9651162790697676,1.297244094488189,6,1,1,6,6,108.16339879605496,29.05899217,9,0.0,1,1,1,62.0,,-3838.0,,-3838.0,,0.0,,0.0,,37897.0,,0.0,,0.0,
2020,45,1072,2,1,1,24500,47.93,10000,7.0,5.0,5000.0,24300.0,32400.0,145184.0,150300.0,56700.0,0.9659614105123088,0.4320987654320987,27,1,1,6,6,88.89454358960624,66.29255679,6,0.0,1,1,1,54.30769230769231,92.6,-43833.0,-11475.0,-3371.769230769231,-2295.0,-4454.0,-1909.0,-342.61538461538464,-381.8,21169.30769230769,24690.0,0.0,0.0,38624.0,12571.0
2022,18,2014,3,1,3,32000,52.4,25000,7.0,5.0,5000.0,16000.0,0.0,41367.0,59036.0,16000.0,0.7007080425503083,2.0,5,1,1,1,1,22.119040787588844,1.569106158,1,3.0,1,1,1,,41.4,,-19225.0,,-1922.5,,0.0,,0.0,,11430.3,,0.0,,15388.0
2021,17,1554,2,1,2,24840,1704.23,10000,7.0,6.0,5000.0,0.0,27500.0,79320.0,79780.0,27500.0,0.9942341438957132,0.9032727272727272,30,1,1,16,7,33.37790064469044,2.657473362,8,1.0,2,1,1,,42.90909090909091,,-40991.0,,-3726.4545454545455,,0.0,,0.0,,16247.454545454546,,0.0,,30656.0
2020,27,963,4,1,3,5000,298.92,5000,7.0,5.0,5000.0,0.0,85201.0,85201.0,120972.0,85201.0,0.7043034751843402,0.0586847572211593,11,1,2,1,1,617.2391990913909,14.1306274,1,0.0,1,1,1,,,,,,,,,,,,,,,,
2021,6,483,4,1,3,16380,304.08,15000,7.0,5.0,5000.0,15120.0,10080.0,64496.0,65978.0,25200.0,0.9775379672011882,0.65,4,3,1,13,7,105.5784293782124,208.9921106,1,3.0,1,1,1,44.55555555555556,95.23076923076924,-11331.0,-15467.0,-1259.0,-1189.7692307692307,0.0,0.0,0.0,0.0,6899.111111111111,19639.615384615383,0.0,0.0,21631.0,21639.0
2022,19,2023,5,1,3,32650,189.83,25000,7.0,5.0,5000.0,0.0,19850.0,19850.0,62419.0,19850.0,0.3180121437382848,1.6448362720403022,5,1,1,5,2,217.8926979256753,42.26971176,1,3.0,4,1,1,,25.33333333333333,,-29544.0,,-3282.6666666666665,,0.0,,0.0,,8825.333333333334,,0.0,,35712.0
2022,10,1739,4,1,4,20090,2040.33,15000,7.0,5.0,5000.0,8000.0,18000.0,74255.0,77107.0,26000.0,0.9630124372625052,0.7726923076923077,4,3,1,5,2,55.100317527743,99.64734295,5,2.0,1,1,1,4.8,35.46153846153846,-18769.0,-17748.0,-3753.8,-1365.2307692307693,0.0,0.0,0.0,0.0,1180.4,7045.153846153846,0.0,0.0,11934.0,20282.0
2022,12,2817,5,1,3,6048,547.26,5000,7.0,5.0,5000.0,4160.0,5200.0,17757.0,21334.0,9360.0,0.8323333645823568,0.6461538461538462,6,3,1,5,9,79.60876204835544,90.74453932,5,2.0,1,1,1,11.666666666666666,56.84615384615385,-2361.0,-5985.0,-787.0,-460.38461538461536,0.0,0.0,0.0,0.0,1114.3333333333333,3846.0,0.0,0.0,1320.0,9494.0
2021,33,1681,2,1,1,80192,326.79,75000,7.0,5.0,5000.0,64800.0,25200.0,135073.0,135073.0,90000.0,1.0,0.8910222222222223,1,1,1,18,6,122.94898314430267,60.06637216,5,0.0,7,1,1,25.83333333333333,,-17628.0,,-2938.0,,0.0,,0.0,,8737.833333333334,,0.0,,19900.0,
2020,44,248,2,1,1,40810,141.01,40000,7.0,5.0,5000.0,25850.0,23650.0,137690.0,142179.0,49500.0,0.968427123555518,0.8244444444444444,7,1,1,6,6,120.91297429812845,55.93238076,6,0.0,1,1,1,69.76923076923077,108.25,-51643.0,-7720.0,-3972.538461538461,-1930.0,-6872.0,-7902.0,-528.6153846153846,-1975.5,25104.615384615383,26115.5,0.0,0.0,41282.0,8799.0
2022,2,2484,3,1,3,41160,390.39,40000,7.0,5.0,5000.0,77520.0,22440.0,259804.0,259804.0,99960.0,1.0,0.4117647058823529,4,1,1,6,7,77.06108638211539,,1,3.0,1,1,1,2.1666666666666665,62.46153846153846,-46742.0,-25197.0,-3895.1666666666665,-1938.2307692307693,0.0,0.0,0.0,0.0,-431.6666666666667,18829.615384615383,0.0,0.0,44800.0,46584.0
2020,45,453,3,1,3,7300,496.5,5000,7.0,5.0,5000.0,2800.0,0.0,9391.0,9007.0,2800.0,1.0426335072721218,2.607142857142857,22,2,1,13,6,116.3094843122202,98.37270263,5,2.0,7,1,1,36.53846153846154,61.8,-2960.0,-769.0,-227.69230769230768,-153.8,0.0,0.0,0.0,0.0,1010.6923076923076,1339.4,0.0,0.0,4113.0,1033.0
2022,26,3238,1,1,1,191760,75.94,100000,7.0,5.0,5000.0,159636.0,0.0,666730.0,654755.0,159636.0,1.0182892837779016,1.2012328046305345,8,1,1,5,5,99.92599733689792,65.42718969,5,3.0,1,1,1,,1.0,,-38841.0,,-19420.5,,0.0,,0.0,,-640.0,,0.0,,17784.0
2021,2,23,2,2,1,94500,20.43,75000,7.0,5.0,5000.0,51750.0,20250.0,388783.0,388783.0,72000.0,1.0,1.3125,2,3,1,5,7,63.82317711261626,80.29136164954667,5,2.0,1,1,1,32.166666666666664,59.84615384615385,-19947.0,-19895.0,-1662.25,-1530.3846153846157,0.0,0.0,0.0,0.0,7251.916666666667,13839.076923076924,0.0,0.0,29433.0,25584.0
2021,36,2067,2,1,2,10080,4045.7,10000,7.0,6.0,5000.0,5523.0,2824.0,8347.0,8347.0,8347.0,1.0,1.207619504013418,3,3,1,18,7,86.11670111219655,80.16696979,5,3.0,1,1,1,36.44444444444444,,-12028.0,,-1336.4444444444443,,0.0,,0.0,,6200.888888888889,,0.0,,15085.0,
2021,24,1251,2,1,1,28320,93.98,25000,7.0,5.0,5000.0,35838.0,0.0,35838.0,35838.0,35838.0,1.0,0.7902226686757073,5,1,1,1,1,92.42963867807704,28.70431661,1,0.0,1,1,1,,9.333333333333334,,-11660.0,,-3886.6666666666665,,0.0,,0.0,,7799.333333333333,,0.0,,15456.0
2023,36,3852,4,1,3,25000,384.06,25000,7.0,5.0,5000.0,0.0,14580.0,21346.0,33058.0,14580.0,0.6457135942888257,1.7146776406035664,27,1,1,5,5,0.297032449,0.51820327,8,0.0,1,1,1,56.22222222222222,,0.0,,,,0.0,,,,,,,,2880.0,
2022,14,2031,4,1,3,5040,5099.31,5000,7.0,5.0,5000.0,4480.0,6160.0,15140.0,17436.0,10640.0,0.8683184216563432,0.4736842105263157,30,3,1,5,7,96.75871812,100.5240314,5,2.0,1,2,1,0.0,60.69230769230769,-1833.0,-7877.0,-1833.0,-605.9230769230769,0.0,0.0,0.0,0.0,-564.0,1854.0,0.0,0.0,0.0,11536.0
2021,50,1422,2,1,1,85400,67.74,75000,7.0,5.0,5000.0,73580.0,10660.0,327848.0,343854.0,84240.0,0.953451174044798,1.013770180436847,2,1,1,5,5,125.68429222217306,134.2365516,1,0.0,1,1,1,0.0,0.6,-126353.0,-63360.0,-9719.46153846154,-6336.0,0.0,0.0,0.0,0.0,-17209.76923076923,-723.0,0.0,0.0,123480.0,74088.0
2023,45,3592,1,1,1,36400,311.64,35000,7.0,5.0,5000.0,23100.0,2700.0,230028.0,232615.0,25800.0,0.9888786191776112,1.4108527131782946,8,1,1,20,29,0.786671095,0.908035367,5,1.0,2,1,1,48.083333333333336,,0.0,,,,0.0,,,,,,,,62400.0,
2022,51,3405,3,1,3,88000,67.19,60000,7.0,5.0,5000.0,88000.0,16000.0,476472.0,501848.0,104000.0,0.949434888651544,0.8461538461538461,5,2,5,5,6,107.33665377420662,85.00783199,1,0.0,1,1,1,,,,,,,,,,,,,,,,
2020,10,435,2,1,1,51510,129.46,50000,7.0,5.0,5000.0,29665.0,42245.0,282758.0,290447.0,71910.0,0.9735270118128264,0.7163120567375887,2,1,1,6,6,76.10344097,76.7175438,1,3.0,1,1,1,38.4,62.76923076923077,-61293.0,-66107.0,-12258.6,-5085.153846153846,0.0,0.0,0.0,0.0,47178.4,49825.769230769234,0.0,-616.6923076923077,32832.0,86557.0
2021,47,31,1,1,2,10656,1494.35,10000,7.0,6.0,5000.0,5292.0,2844.0,55980.0,55188.0,8136.0,1.0143509458577953,1.3097345132743363,6,1,1,1,1,,,1,0.0,1,1,1,24.041666666666668,24.571428571428573,-6926.0,-2486.0,-314.8181818181818,-177.57142857142858,0.0,0.0,0.0,0.0,767.0454545454545,597.7142857142857,0.0,0.0,9126.0,1855.0
